id1 id2
1_internal_18413 2_internal_13914
9_internal_6506 20_internal_4925
16_internal_5608 17_internal_7818
7_internal_7975 8_internal_6858
10_internal_7559 22_internal_3370
7_internal_8262 11_internal_8882
3_internal_11026 9_internal_6481
2_internal_14140 4_internal_7561
1_internal_16597 18_internal_3502
1_internal_17976 4_internal_7325
17_internal_7818 19_internal_5928
1_internal_15809 9_internal_6601
4_internal_6994 18_internal_3502
1_internal_18413 2_internal_13437
14_internal_6170 16_internal_5740
9_internal_6544 17_internal_7681
2_internal_13431 12_internal_8839
11_internal_7699 22_internal_3370
1_internal_17976 11_internal_7699
3_internal_11227 6_internal_10475
11_internal_7853 14_internal_5885
1_internal_20060 9_internal_6544
8_internal_7398 17_internal_7965
9_internal_6601 10_internal_7731
12_internal_8589 19_internal_5787
7_internal_8056 11_internal_7699
4_internal_7561 17_internal_9226
1_internal_20060 3_internal_11288
1_internal_15977 5_internal_8128
1_internal_16048 19_internal_5807
9_internal_6481 16_internal_5608
2_internal_14140 17_internal_9226
5_internal_8133 6_internal_10475
12_internal_8561 17_internal_7920
16_internal_6270 19_internal_5810
1_internal_16597 16_internal_6270
18_internal_3044 22_internal_3216
6_internal_10472 12_internal_9475
4_internal_7325 11_internal_7699
1_internal_16048 2_internal_13009
9_internal_6481 17_internal_8010
4_internal_6941 8_internal_6664
10_internal_8215 18_internal_3044
1_internal_18827 3_internal_11227
3_internal_10703 6_internal_9869
4_internal_7325 14_internal_6170
8_internal_6686 21_internal_2563
11_internal_7511 14_internal_6170
3_internal_10703 19_internal_5814
2_internal_13046 7_internal_8132
4_internal_6952 8_internal_7333
7_internal_8056 17_internal_7965
3_internal_10753 11_internal_7504
2_internal_13496 11_internal_7480
7_internal_8056 11_internal_7511
6_internal_10475 11_internal_7804
8_internal_6858 14_internal_5396
6_internal_9869 11_internal_7504
2_internal_13496 7_internal_8132
1_internal_15666 12_internal_8770
8_internal_7398 16_internal_5740
13_internal_3758 17_internal_7681
16_internal_5608 17_internal_8010
5_internal_9260 17_internal_7681
3_internal_10929 12_internal_9475
8_internal_6858 16_internal_5523
11_internal_7511 16_internal_5824
11_internal_7511 22_internal_3291
5_internal_8205 22_internal_3233
7_internal_8262 14_internal_5521
7_internal_8709 22_internal_3370
3_internal_10929 11_internal_8541
13_internal_5064 19_internal_5863
4_internal_6994 5_internal_8128
11_internal_7504 21_internal_2675
1_internal_15666 2_internal_13014
2_internal_13431 11_internal_7804
1_internal_18445 22_internal_3291
3_internal_10703 17_internal_8541
5_internal_9519 7_internal_8262
5_internal_8133 11_internal_7804
1_internal_15977 18_internal_3502
4_internal_7325 21_internal_2154
1_internal_20060 2_internal_14140
1_internal_16084 2_internal_14140
16_internal_5523 17_internal_7589
7_internal_8056 19_internal_5863
1_internal_18413 12_internal_9475
2_internal_13431 7_internal_8386
