"id1" "id2"
"84112" "9_internal_6626" "19_internal_6135"
"18060" "12_internal_8665" "20_internal_4919"
"14516" "1_internal_16135" "20_internal_4919"
"28213" "16_internal_5606" "19_internal_5968"
"4696" "11_internal_7856" "12_internal_8665"
"62436" "5_internal_8133" "10_internal_7733"
"40689" "2_internal_14060" "18_internal_3090"
"74110" "7_internal_8021" "11_internal_7924"
"69894" "6_internal_10358" "14_internal_5530"
"21337" "13_internal_3981" "18_internal_3399"
"76075" "7_internal_8186" "17_internal_7654"
"38661" "2_internal_13232" "14_internal_5872"
"12937" "1_internal_16427" "17_internal_7924"
"5051" "11_internal_7586" "14_internal_5558"
"9364" "1_internal_16135" "12_internal_8486"
"63315" "5_internal_8133" "12_internal_12385"
"24036" "14_internal_5558" "19_internal_5968"
"15613" "12_internal_8617" "15_internal_5707"
"35625" "2_internal_13337" "11_internal_7586"
"51366" "3_internal_11601" "16_internal_5606"
"13502" "1_internal_18945" "19_internal_6284"
"7612" "1_internal_16052" "11_internal_7625"
"36075" "2_internal_13204" "11_internal_7683"
"65548" "5_internal_8304" "19_internal_5998"
"39198" "2_internal_16290" "15_internal_6532"
"52872" "3_internal_11816" "20_internal_4919"
"9645" "1_internal_16768" "12_internal_10810"
"17887" "12_internal_9057" "20_internal_4839"
"53480" "3_internal_11864" "22_internal_3328"
"17332" "1_internal_16068" "21_internal_2190"
"24031" "14_internal_5493" "19_internal_5995"
"41299" "2_internal_14060" "19_internal_5968"
"20223" "1_internal_16533" "2_internal_13354"
"7573" "1_internal_16135" "11_internal_7586"
"4378" "11_internal_7586" "12_internal_8652"
"37137" "2_internal_13204" "12_internal_8665"
"4352" "11_internal_7806" "12_internal_10810"
"27593" "1_internal_16533" "5_internal_8477"
"36120" "2_internal_14232" "11_internal_7806"
"64769" "5_internal_8133" "17_internal_7890"
"67387" "5_internal_8394" "8_internal_7091"
"49941" "3_internal_11816" "12_internal_9055"
"40312" "2_internal_14060" "17_internal_7654"
"65674" "5_internal_8133" "20_internal_4864"
