communities.names	communities.membership
10_internal_9312	1
10_internal_9363	1
10_internal_9374	1
10_internal_9404	1
10_internal_9431	1
10_internal_9465	1
10_internal_9534	1
10_internal_9541	1
10_internal_9689	1
10_internal_9774	1
10_internal_9795	1
10_internal_9829	1
10_internal_9839	1
10_internal_9840	1
10_internal_9852	1
10_internal_9885	1
10_internal_9886	1
10_internal_9928	1
10_internal_9945	1
11_internal_10034	1
11_internal_10043	1
11_internal_10047	1
11_internal_10145	1
11_internal_10181	1
11_internal_10218	1
11_internal_10293	1
11_internal_10303	1
11_internal_10345	1
11_internal_10399	1
11_internal_10420	1
11_internal_10510	1
11_internal_10539	1
11_internal_10546	1
11_internal_10595	1
11_internal_10653	1
11_internal_10737	1
11_internal_10738	1
11_internal_10816	1
11_internal_10892	1
11_internal_10922	1
11_internal_10924	1
11_internal_10996	1
11_internal_11039	1
11_internal_11250	1
11_internal_11366	1
11_internal_11379	1
11_internal_11468	1
11_internal_11487	1
11_internal_11573	1
11_internal_11581	1
11_internal_11614	1
11_internal_11628	1
11_internal_11727	1
11_internal_11746	1
11_internal_11763	1
11_internal_11771	1
11_internal_11801	1
11_internal_11845	1
11_internal_11897	1
11_internal_11913	1
11_internal_11951	1
11_internal_11964	1
11_internal_12065	1
11_internal_12220	1
11_internal_12676	1
11_internal_7526	1
11_internal_8012	1
11_internal_8116	1
11_internal_8119	1
11_internal_8161	1
11_internal_8175	1
11_internal_8269	1
11_internal_8273	1
11_internal_8364	1
11_internal_8370	1
11_internal_8384	1
11_internal_8391	1
11_internal_8460	1
11_internal_8499	1
11_internal_8511	1
11_internal_8512	1
11_internal_8560	1
11_internal_8564	1
11_internal_8576	1
11_internal_8658	1
11_internal_8674	1
11_internal_8707	1
11_internal_8753	1
11_internal_8779	1
11_internal_8814	1
11_internal_8819	1
11_internal_8855	1
11_internal_8869	1
11_internal_8871	1
11_internal_8883	1
11_internal_8889	1
11_internal_8903	1
11_internal_8911	1
11_internal_8929	1
11_internal_8982	1
11_internal_8988	1
11_internal_8989	1
11_internal_8993	1
11_internal_9012	1
11_internal_9024	1
11_internal_9027	1
11_internal_9035	1
11_internal_9075	1
11_internal_9102	1
11_internal_9190	1
11_internal_9200	1
11_internal_9203	1
11_internal_9304	1
11_internal_9325	1
11_internal_9332	1
11_internal_9335	1
11_internal_9355	1
11_internal_9381	1
11_internal_9397	1
11_internal_9491	1
11_internal_9519	1
11_internal_9539	1
11_internal_9592	1
11_internal_9631	1
11_internal_9636	1
11_internal_9661	1
11_internal_9697	1
11_internal_9720	1
11_internal_9880	1
11_internal_9915	1
11_internal_9928	1
11_internal_9929	1
11_internal_9952	1
11_internal_9976	1
11_internal_9983	1
11_internal_9998	1
12_internal_10015	1
12_internal_10092	1
12_internal_10094	1
12_internal_10150	1
12_internal_10169	1
12_internal_10187	1
12_internal_10217	1
12_internal_10266	1
12_internal_10309	1
12_internal_10321	1
12_internal_10349	1
12_internal_10401	1
12_internal_10500	1
12_internal_10504	1
12_internal_10622	1
12_internal_10661	1
12_internal_10679	1
12_internal_10707	1
12_internal_10756	1
12_internal_10857	1
12_internal_10891	1
12_internal_10971	1
12_internal_11104	1
12_internal_11147	1
12_internal_11149	1
12_internal_11154	1
12_internal_11172	1
12_internal_11311	1
12_internal_11316	1
12_internal_11333	1
12_internal_11353	1
12_internal_11424	1
12_internal_11547	1
12_internal_11618	1
12_internal_11874	1
12_internal_11952	1
12_internal_11960	1
12_internal_11997	1
12_internal_12022	1
12_internal_12136	1
12_internal_12400	1
12_internal_12552	1
12_internal_12724	1
12_internal_12729	1
12_internal_12829	1
12_internal_12875	1
12_internal_12910	1
12_internal_13027	1
12_internal_13104	1
12_internal_13334	1
12_internal_13382	1
12_internal_13518	1
12_internal_13563	1
12_internal_13702	1
12_internal_14144	1
12_internal_14207	1
12_internal_14230	1
12_internal_8580	1
12_internal_8608	1
12_internal_8740	1
12_internal_8899	1
12_internal_8939	1
12_internal_8944	1
12_internal_9018	1
12_internal_9069	1
12_internal_9124	1
12_internal_9202	1
12_internal_9316	1
12_internal_9351	1
12_internal_9353	1
12_internal_9435	1
12_internal_9452	1
12_internal_9475	1
12_internal_9479	1
12_internal_9491	1
12_internal_9515	1
12_internal_9521	1
12_internal_9550	1
12_internal_9646	1
12_internal_9662	1
12_internal_9695	1
12_internal_9705	1
12_internal_9711	1
12_internal_9724	1
12_internal_9817	1
12_internal_9827	1
12_internal_9832	1
12_internal_9848	1
12_internal_9855	1
12_internal_9863	1
12_internal_9870	1
12_internal_9880	1
12_internal_9892	1
12_internal_9935	1
12_internal_9985	1
12_internal_9997	1
13_internal_3977	1
13_internal_4018	1
13_internal_4063	1
13_internal_4133	1
13_internal_4148	1
13_internal_4167	1
13_internal_4172	1
13_internal_4193	1
13_internal_4218	1
13_internal_4276	1
13_internal_4284	1
13_internal_4308	1
13_internal_4350	1
13_internal_4411	1
13_internal_4429	1
13_internal_4432	1
13_internal_4469	1
13_internal_4471	1
13_internal_4480	1
13_internal_4488	1
13_internal_4496	1
13_internal_4548	1
13_internal_4562	1
13_internal_4567	1
13_internal_4595	1
13_internal_4604	1
13_internal_4638	1
13_internal_4728	1
13_internal_4739	1
13_internal_4786	1
13_internal_4792	1
13_internal_4802	1
13_internal_4808	1
13_internal_4874	1
13_internal_4887	1
13_internal_4894	1
13_internal_4902	1
13_internal_5002	1
13_internal_5016	1
13_internal_5035	1
13_internal_5092	1
13_internal_5122	1
13_internal_5136	1
