from to weigth
3_internal_10724 22_internal_3268 1
6_internal_9794 16_internal_5565 1
5_internal_8392 20_internal_4602 1
7_internal_7931 8_internal_6895 1
1_internal_15762 8_internal_7063 1
6_internal_10068 16_internal_5726 1
16_internal_5509 17_internal_8172 1
1_internal_15823 19_internal_6261 1
11_internal_7766 12_internal_8941 1
5_internal_8538 19_internal_5859 1
19_internal_8727 22_internal_3529 1
11_internal_7755 15_internal_5574 1
1_internal_16018 11_internal_8327 1
2_internal_13075 7_internal_8144 1
11_internal_8369 19_internal_8727 1
7_internal_7931 19_internal_5919 1
7_internal_7973 22_internal_3232 1
2_internal_13860 16_internal_6276 1
12_internal_9138 20_internal_5052 1
8_internal_6743 17_internal_8273 1
6_internal_10481 15_internal_6100 1
6_internal_10512 10_internal_7789 1
16_internal_5421 22_internal_3674 1
2_internal_13075 14_internal_5612 1
14_internal_5707 17_internal_7955 1
1_internal_16337 19_internal_5928 1
7_internal_8234 12_internal_8565 1
16_internal_5421 22_internal_3269 1
5_internal_8201 6_internal_10573 1
9_internal_6618 10_internal_8245 1
11_internal_9432 19_internal_5985 1
2_internal_13380 11_internal_7755 1
6_internal_9758 22_internal_3232 1
16_internal_8690 19_internal_6111 1
1_internal_15756 8_internal_7063 1
9_internal_6618 12_internal_8565 1
14_internal_5612 21_internal_2145 1
16_internal_8776 21_internal_3463 1
5_internal_8394 11_internal_8723 1
11_internal_7511 15_internal_6100 1
1_internal_16355 14_internal_5404 1
2_internal_13478 9_internal_7282 1
1_internal_15992 6_internal_9758 1
1_internal_16097 10_internal_8245 1
19_internal_6111 21_internal_2562 1
10_internal_7677 14_internal_5838 1
1_internal_16680 7_internal_7973 1
12_internal_10040 19_internal_6250 1
1_internal_15992 14_internal_5707 1
1_internal_16101 7_internal_7931 1
5_internal_8392 16_internal_6434 1
1_internal_16337 14_internal_5612 1
5_internal_9048 18_internal_3333 1
1_internal_17606 5_internal_8439 1
16_internal_5565 17_internal_7683 1
11_internal_7755 16_internal_5534 1
11_internal_8369 15_internal_5574 1
9_internal_7193 20_internal_5477 1
19_internal_8727 21_internal_2466 1
3_internal_10816 15_internal_6100 1
16_internal_5565 19_internal_5985 1
2_internal_13075 17_internal_8096 1
2_internal_14484 14_internal_5707 1
4_internal_6953 20_internal_5052 1
16_internal_5583 20_internal_4570 1
2_internal_13527 7_internal_8144 1
1_internal_16010 14_internal_5429 1
20_internal_4605 22_internal_3232 1
1_internal_17069 5_internal_8776 1
2_internal_13808 16_internal_5565 1
6_internal_9898 7_internal_8574 1
1_internal_17606 8_internal_6685 1
14_internal_5429 22_internal_3674 1
11_internal_7668 21_internal_2145 1
3_internal_11084 5_internal_8392 1
1_internal_16018 6_internal_10512 1
1_internal_15756 2_internal_13338 1
12_internal_8565 13_internal_3755 1
1_internal_16282 17_internal_7960 1
1_internal_16282 11_internal_7755 1
5_internal_8439 18_internal_3333 1
11_internal_8369 18_internal_3333 1
5_internal_8201 6_internal_10481 1
1_internal_17069 6_internal_12149 1
6_internal_10068 13_internal_3755 1
14_internal_8015 16_internal_8690 1
2_internal_13478 17_internal_7960 1
1_internal_17069 8_internal_7650 1
1_internal_16337 20_internal_4570 1
14_internal_5612 20_internal_4605 1
6_internal_9751 7_internal_8036 1
3_internal_13402 8_internal_6743 1
2_internal_13520 8_internal_7137 1
6_internal_9758 7_internal_7973 1
7_internal_7931 19_internal_6382 1
6_internal_9898 20_internal_5477 1
1_internal_15823 8_internal_7467 1
8_internal_7011 18_internal_3333 1
2_internal_14080 15_internal_6100 1
7_internal_7973 12_internal_8556 1
1_internal_16337 19_internal_6190 1
1_internal_17069 11_internal_7820 1
3_internal_10816 11_internal_8016 1
1_internal_16393 11_internal_7668 1
5_internal_8448 11_internal_7820 1
8_internal_7011 20_internal_5636 1
7_internal_8144 22_internal_3269 1
11_internal_7755 18_internal_3270 1
19_internal_8727 22_internal_3863 1
6_internal_10512 16_internal_6434 1
4_internal_6953 8_internal_7137 1
2_internal_13338 6_internal_9837 1
4_internal_7069 20_internal_4555 1
2_internal_14512 11_internal_7766 1
6_internal_9751 22_internal_3268 1
14_internal_5429 20_internal_4527 1
5_internal_8201 6_internal_9889 1
3_internal_11468 5_internal_8189 1
15_internal_5493 19_internal_6250 1
2_internal_13075 14_internal_5707 1
19_internal_6361 20_internal_4712 1
6_internal_9794 12_internal_10040 1
19_internal_5928 20_internal_4605 1
5_internal_8394 19_internal_6940 1
19_internal_8727 20_internal_5477 1
5_internal_8127 8_internal_6998 1
1_internal_15762 19_internal_6209 1
5_internal_9048 6_internal_10802 1
1_internal_17606 11_internal_8369 1
1_internal_16864 17_internal_8567 1
2_internal_13478 18_internal_3278 1
12_internal_8556 19_internal_6382 1
11_internal_7579 12_internal_8689 1
12_internal_8565 20_internal_4602 1
2_internal_13075 19_internal_6190 1
8_internal_6743 17_internal_9153 1
1_internal_17606 10_internal_10723 1
1_internal_17069 12_internal_8941 1
11_internal_7579 22_internal_3232 1
8_internal_7137 13_internal_3995 1
6_internal_9751 20_internal_4527 1
3_internal_10976 10_internal_8164 1
1_internal_15992 19_internal_6382 1
4_internal_7069 7_internal_8036 1
1_internal_16393 16_internal_5421 1
1_internal_16047 6_internal_10573 1
19_internal_8727 20_internal_4860 1
2_internal_13307 7_internal_7931 1
8_internal_6685 9_internal_7193 1
1_internal_15992 20_internal_4605 1
5_internal_8448 10_internal_7789 1
2_internal_13371 10_internal_10743 1
8_internal_7063 19_internal_6250 1
1_internal_16864 22_internal_3529 1
12_internal_9138 20_internal_5477 1
4_internal_6953 21_internal_2466 1
6_internal_10481 12_internal_8565 1
7_internal_8144 11_internal_7579 1
13_internal_3993 14_internal_5781 1
4_internal_6953 12_internal_9138 1
11_internal_8314 19_internal_5928 1
2_internal_13075 22_internal_3268 1
8_internal_6743 21_internal_2329 1
8_internal_6743 20_internal_5052 1
2_internal_13856 8_internal_6685 1
5_internal_8468 17_internal_7662 1
3_internal_10724 17_internal_8096 1
6_internal_9794 8_internal_7467 1
14_internal_5707 19_internal_5928 1
2_internal_13478 18_internal_3270 1
8_internal_6895 22_internal_3674 1
1_internal_16864 9_internal_7193 1
14_internal_5429 20_internal_4555 1
1_internal_16018 16_internal_5726 1
1_internal_16864 15_internal_6003 1
6_internal_9794 14_internal_5838 1
11_internal_8369 14_internal_7137 1
3_internal_11810 8_internal_7043 1
12_internal_8556 19_internal_5935 1
11_internal_9971 16_internal_5565 1
5_internal_9048 11_internal_8369 1
11_internal_7579 20_internal_4605 1
10_internal_10723 22_internal_3529 1
14_internal_5549 22_internal_3268 1
6_internal_9751 11_internal_7508 1
8_internal_8933 14_internal_5516 1
5_internal_8127 11_internal_7668 1
10_internal_10723 11_internal_9015 1
6_internal_9889 8_internal_8933 1
5_internal_8811 17_internal_7683 1
12_internal_8556 19_internal_5928 1
6_internal_9898 14_internal_5935 1
2_internal_14080 5_internal_8448 1
3_internal_10724 22_internal_3269 1
1_internal_16355 21_internal_2547 1
9_internal_7193 21_internal_2466 1
1_internal_16864 14_internal_5935 1
6_internal_10512 20_internal_4752 1
6_internal_10090 11_internal_7668 1
8_internal_7137 20_internal_5052 1
18_internal_3333 19_internal_8727 1
2_internal_13478 7_internal_8706 1
7_internal_8706 16_internal_5608 1
6_internal_9793 14_internal_5707 1
4_internal_6993 6_internal_10512 1
5_internal_8127 7_internal_8144 1
6_internal_9898 20_internal_5052 1
11_internal_8497 19_internal_6940 1
1_internal_16097 5_internal_8201 1
11_internal_7579 17_internal_7955 1
2_internal_13527 19_internal_6190 1
1_internal_16010 16_internal_5421 1
13_internal_3755 16_internal_5519 1
11_internal_7820 15_internal_6100 1
1_internal_15762 16_internal_5565 1
15_internal_6598 20_internal_5052 1
1_internal_16680 19_internal_6382 1
7_internal_7931 20_internal_4570 1
5_internal_8538 6_internal_11876 1
11_internal_7579 19_internal_5935 1
10_internal_7789 17_internal_8231 1
5_internal_9048 15_internal_5574 1
11_internal_8290 19_internal_6283 1
6_internal_9898 15_internal_5574 1
