from to weigth
14_internal_5404 15_internal_6100 1
3_internal_12517 18_internal_3333 1
6_internal_9793 11_internal_7936 1
1_internal_16355 11_internal_7766 1
7_internal_12399 16_internal_8690 1
2_internal_13478 8_internal_7137 1
1_internal_16680 16_internal_5421 1
1_internal_16680 19_internal_6190 1
7_internal_7931 14_internal_5429 1
16_internal_5421 19_internal_5928 1
4_internal_7069 7_internal_7931 1
16_internal_5421 22_internal_3232 1
3_internal_10724 7_internal_8144 1
12_internal_8556 19_internal_5862 1
15_internal_6100 17_internal_8231 1
1_internal_15992 22_internal_3268 1
7_internal_7931 22_internal_3674 1
8_internal_6743 10_internal_10723 1
15_internal_5493 17_internal_7683 1
11_internal_7579 19_internal_5862 1
7_internal_7931 11_internal_7668 1
8_internal_6685 10_internal_10723 1
8_internal_8933 11_internal_8327 1
7_internal_8144 19_internal_5935 1
14_internal_5707 16_internal_5421 1
10_internal_10723 18_internal_3333 1
3_internal_10816 12_internal_8565 1
3_internal_10816 5_internal_8189 1
3_internal_10816 14_internal_5404 1
14_internal_5429 19_internal_6190 1
2_internal_13075 20_internal_4570 1
1_internal_16680 12_internal_8556 1
7_internal_12399 19_internal_6111 1
1_internal_16198 19_internal_5985 1
1_internal_16282 16_internal_5608 1
8_internal_8933 15_internal_6100 1
5_internal_8201 17_internal_7737 1
8_internal_8933 14_internal_5404 1
5_internal_8127 14_internal_5612 1
17_internal_7683 19_internal_6209 1
2_internal_18790 7_internal_12679 1
1_internal_15762 19_internal_6283 1
11_internal_7755 12_internal_9138 1
3_internal_10724 19_internal_5935 1
2_internal_13345 6_internal_10512 1
11_internal_7668 16_internal_5421 1
6_internal_9898 20_internal_5636 1
12_internal_8565 17_internal_7737 1
11_internal_8101 17_internal_8163 1
11_internal_7609 16_internal_5464 1
1_internal_15992 7_internal_8144 1
1_internal_16282 19_internal_8727 1
1_internal_16047 17_internal_7737 1
11_internal_8369 16_internal_5608 1
2_internal_17916 7_internal_12399 1
1_internal_16010 22_internal_3674 1
6_internal_10512 17_internal_7737 1
3_internal_10724 14_internal_5429 1
5_internal_8127 21_internal_2145 1
1_internal_17069 6_internal_10573 1
1_internal_17069 21_internal_2547 1
19_internal_5928 22_internal_3232 1
20_internal_5477 21_internal_2466 1
7_internal_8144 22_internal_3268 1
7_internal_8706 11_internal_7755 1
2_internal_13478 5_internal_9048 1
5_internal_11818 14_internal_5838 1
19_internal_6118 20_internal_4570 1
14_internal_5707 19_internal_5862 1
1_internal_16097 5_internal_8392 1
17_internal_7955 20_internal_4605 1
3_internal_12517 20_internal_5636 1
1_internal_16680 19_internal_5935 1
1_internal_16864 20_internal_4738 1
6_internal_10512 21_internal_2547 1
1_internal_16393 6_internal_9751 1
17_internal_7683 19_internal_6495 1
1_internal_16393 12_internal_8556 1
1_internal_16097 14_internal_5404 1
16_internal_5608 17_internal_7960 1
5_internal_8127 19_internal_5928 1
11_internal_7579 19_internal_5919 1
5_internal_8127 20_internal_4527 1
19_internal_5935 20_internal_4555 1
1_internal_15992 14_internal_5429 1
16_internal_5421 21_internal_2145 1
14_internal_5707 19_internal_6209 1
7_internal_8607 11_internal_8497 1
2_internal_13688 16_internal_5726 1
2_internal_17916 19_internal_6111 1
1_internal_16047 6_internal_10512 1
8_internal_6685 18_internal_3333 1
3_internal_10816 6_internal_9889 1
7_internal_8144 19_internal_6190 1
10_internal_10723 20_internal_5477 1
6_internal_9758 8_internal_6998 1
1_internal_15762 19_internal_6261 1
2_internal_13478 15_internal_5574 1
11_internal_7668 14_internal_5612 1
16_internal_5421 19_internal_5862 1
6_internal_9898 8_internal_6743 1
8_internal_7137 15_internal_5574 1
11_internal_7755 17_internal_7960 1
5_internal_8201 11_internal_9931 1
7_internal_7973 14_internal_5429 1
11_internal_7766 12_internal_8565 1
6_internal_10512 11_internal_9931 1
5_internal_8448 11_internal_8327 1
1_internal_15992 21_internal_2145 1
1_internal_17069 5_internal_8448 1
2_internal_13075 20_internal_4555 1
1_internal_15887 11_internal_7579 1
12_internal_8556 14_internal_5707 1
1_internal_16864 2_internal_13478 1
16_internal_5608 20_internal_5636 1
1_internal_16198 6_internal_9837 1
5_internal_8189 6_internal_10512 1
1_internal_17069 2_internal_13345 1
1_internal_15762 10_internal_7677 1
11_internal_7755 22_internal_3529 1
11_internal_7766 13_internal_3755 1
5_internal_8392 17_internal_7737 1
1_internal_16097 12_internal_8565 1
6_internal_9758 20_internal_4605 1
1_internal_16393 19_internal_5862 1
2_internal_13856 11_internal_7755 1
2_internal_13075 3_internal_11034 1
7_internal_8123 8_internal_7063 1
10_internal_7789 13_internal_3755 1
1_internal_15992 11_internal_7668 1
1_internal_16680 11_internal_7579 1
5_internal_8392 6_internal_10481 1
1_internal_16393 11_internal_7579 1
2_internal_14484 7_internal_7931 1
3_internal_10724 7_internal_7973 1
1_internal_16864 16_internal_5534 1
1_internal_16018 8_internal_8933 1
1_internal_16198 7_internal_8123 1
11_internal_8327 13_internal_3755 1
3_internal_11249 14_internal_5758 1
1_internal_17069 6_internal_9889 1
6_internal_9794 19_internal_6261 1
4_internal_6953 11_internal_7755 1
7_internal_8036 22_internal_3232 1
8_internal_7011 10_internal_10723 1
5_internal_8538 7_internal_8123 1
14_internal_5838 19_internal_6426 1
1_internal_15992 19_internal_6190 1
16_internal_5421 20_internal_4570 1
11_internal_7668 19_internal_5935 1
6_internal_9751 17_internal_7955 1
14_internal_5612 16_internal_5421 1
14_internal_5758 17_internal_8038 1
1_internal_17606 18_internal_3333 1
1_internal_15992 7_internal_7973 1
15_internal_5574 20_internal_5052 1
8_internal_6743 20_internal_5636 1
9_internal_7193 20_internal_5636 1
1_internal_16680 14_internal_5429 1
3_internal_10816 5_internal_8201 1
3_internal_10724 21_internal_2145 1
5_internal_8439 6_internal_9898 1
16_internal_5421 22_internal_3268 1
7_internal_8123 19_internal_5846 1
2_internal_14648 17_internal_11413 1
17_internal_7683 19_internal_6118 1
3_internal_10816 11_internal_7766 1
5_internal_8392 11_internal_7766 1
